组织机构名称,组织机构别称,组织机构成立时间,组织机构成立地点,组织机构类型,主要人物,,,,,,,,,
中国工农红军,,1927年,湖北,中共领导的军事组织,朱德、刘伯承、叶剑英、徐向前、王维舟,,,,,,,,,
中央政治局,,1924年11月,,中央/地方组织机构,陈独秀、蔡和森,,,,,,,,,
红军第二十五军团,,1931年10月,安徽,中共领导的军事组织,,,,,,,,,,
中共驻共产国际代表团,,1928年,,中央/地方组织机构,瞿秋白、张国焘,,,,,,,,,
中共中央西北工作委员会,,1938年11月,,中央/地方组织机构,张闻天,,,,,,,,,
陕甘宁边区政府,,1937年9月,,政权组织,,,,,,,,,,
中国国民党革命委员会,,1894年,,民主党派,孙中山,,,,,,,,,
中央书记处,,1934年1月,,中央/地方组织机构,,,,,,,,,,
中国民主同盟,,1941年3月19日,重庆,民主党派,,,,,,,,,,
中国青年党,,1923年12月2日,巴黎,民主党派,,,,,,,,,,
中国民主青年党,,1953年3月1日,,民主党派,,,,,,,,,,
东北野战军,,1948年8月14日,,中共领导的军事组织,林彪,,,,,,,,,
华东野战军,,1949年2月,,中共领导的军事组织,陈毅,,,,,,,,,
中央军委,中国共产党中央军事委员会,1954年9月28日,,中央/地方组织机构,,,,,,,,,,
中原野战军,,1948年5月9日,,中共领导的军事组织,刘伯承、邓小平,,,,,,,,,
华北野战军,,1949年,,中共领导的军事组织,,,,,,,,,,
中国人民解放军,,1927年8月1日,,中共领导的军事组织,贺龙,,,,,,,,,
中国人民志愿军,,1950年10月8日,,中共领导的军事组织,,,,,,,,,,
中央人民政府人民革命军事委员会,,1949年10月1日,,政权组织,,,,,,,,,,
中国文字改革委员会,,1954年11月,,中央/地方组织机构,,,,,,,,,,
中央纪律检查委员会,,1949年11月,,中央/地方组织机构,,,,,,,,,,
农牧渔业部,,1982年2月22日,,中央/地方组织机构,,,,,,,,,,
中央统战部,,1939年1月5日,,中央/地方组织机构,,,,,,,,,,
国家民族事务委员会,,1949年10月22日,,中央/地方组织机构,,,,,,,,,,
中央党史研究室,,1988年7月,,中央/地方组织机构,,,,,,,,,,
国务院西部开发办公室,,2000年3月,,中央/地方组织机构,,,,,,,,,,
中央组织部,,1924年5月,,中央/地方组织机构,,,,,,,,,,
中央宣传部,,1924年5月,,中央/地方组织机构,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
